question,answer,tags
What happens if you don't exercise?,"Lack of exercise increases risk of obesity, diabetes, heart disease, and depression.",exercise
How do I know if I have diabetes?,"Symptoms include increased thirst, frequent urination, fatigue, blurred vision, and slow-healing wounds. A blood test confirms it.",diabetes know symptoms
How do I know if I have high blood pressure?,"You usually can't feel it. Get your BP checked at a clinic or pharmacy. Normal is below 120/80.",blood pressure know
How do I know if I have HIV?,"Only an HIV test can tell you. Symptoms may not appear for years. Get tested at any clinic.",hiv know test
How do I know if I have TB?,"Symptoms include a cough lasting more than 2 weeks, night sweats, weight loss, and coughing blood. Get tested at a clinic.",tb know
How do I know if I have asthma?,"Symptoms include wheezing, coughing, chest tightness, and shortness of breath, especially at night or after exercise. See a doctor.",asthma know
How do I know if I have a UTI?,"Symptoms include burning when urinating, frequent urination, cloudy urine, and pelvic pain. See a doctor.",uti know
How do I know if I have depression?,"Persistent sadness, loss of interest, low energy, and difficulty concentrating for more than 2 weeks. Talk to a doctor.",depression know
How do I know if I have anxiety?,"Persistent worry, restlessness, rapid heartbeat, and trouble concentrating. Talk to a doctor if it affects daily life.",anxiety know
How do I know if I'm dehydrated?,"Thirst, dark urine, dry mouth, fatigue, and dizziness. Severe cases cause confusion and fainting.",dehydration know
How do I know if I have food poisoning?,"Symptoms include nausea, vomiting, diarrhoea, and stomach cramps, usually within hours of eating contaminated food.",food poisoning know
How do I know if I have an STI?,"Many STIs have no symptoms. Get tested if you've had unprotected sex or notice discharge, sores, or pain when urinating.",sti know
How do I know if I have a yeast infection?,"Symptoms include itching, burning, and thick white discharge. It's common and easily treated.",yeast know
How do I know if I have a cold or flu?,"Colds are milder with a runny nose and sneezing. Flu is sudden with fever, body aches, and fatigue.",cold flu difference
How do I know if I have COVID-19?,"Symptoms include fever, cough, loss of taste or smell, and fatigue. Get tested to confirm.",covid know
How do I know if I have allergies?,"Symptoms include sneezing, runny nose, itchy eyes, and skin rash, often after contact with a trigger like pollen or pets.",allergy know
How do I know if I'm pregnant?,"A missed period, nausea, breast tenderness, and fatigue are common signs. Take a pregnancy test.",pregnancy know
How do I know if I have a broken bone?,"Severe pain, swelling, bruising, and inability to move the limb. An X-ray confirms it.",fracture know
How do I know if I have a concussion?,"Symptoms include headache, confusion, dizziness, memory problems, and nausea after a head injury.",concussion know
How do I know if I have a heart problem?,"Chest pain, shortness of breath, palpitations, and swelling in the legs. See a doctor.",heart know
How do I know if I have a stroke?,"FAST: Face drooping, Arm weakness, Speech difficulty, Time to call emergency.",stroke know
How do I know if I have pneumonia?,"Symptoms include cough, fever, chills, difficulty breathing, and chest pain. See a doctor.",pneumonia know
How do I know if I have bronchitis?,"Persistent cough with mucus, chest discomfort, and mild fever. See a doctor if it lasts more than 3 weeks.",bronchitis know
How do I know if I have anaemia?,"Fatigue, weakness, pale skin, and shortness of breath. A blood test confirms it.",anaemia know
How do I know if I have arthritis?,"Pain, stiffness, and swelling in one or more joints. A doctor can diagnose the type.",arthritis know
How do I know if I have gout?,"Sudden severe pain, swelling, and redness in a joint, often the big toe.",gout know
How do I know if I have asthma?,"Wheezing, coughing, chest tightness, and shortness of breath. A doctor can diagnose it.",asthma know
How do I know if I have a migraine?,"Severe headache, often on one side, with nausea and sensitivity to light. A doctor can diagnose.",migraine know
How do I know if I have an ear infection?,"Ear pain, discharge, hearing loss, or fever. See a doctor.",ear infection know
How do I know if I have a tooth infection?,"Severe toothache, swelling, fever, and bad taste in the mouth. See a dentist immediately.",tooth infection
How do I know if I have a bladder infection?,"Burning urination, frequent urination, and pelvic pain. See a doctor.",bladder infection know
How do I know if I have a kidney infection?,"Fever, back pain, nausea, and painful urination. See a doctor immediately.",kidney infection know
How do I know if I have a skin infection?,"Redness, swelling, warmth, pain, and pus. See a doctor.",skin infection know
How do I know if I have a food allergy?,"Symptoms include hives, swelling, stomach upset, and difficulty breathing after eating certain foods. See a doctor.",food allergy know
How do I know if I have lactose intolerance?,"Bloating, gas, and diarrhoea after eating dairy. Try lactose-free products.",lactose know
How do I know if I have coeliac disease?,"Diarrhoea, bloating, weight loss, and fatigue after eating gluten. A blood test and biopsy confirm it.",coeliac know
How do I know if I have IBS?,"Cramps, bloating, and changes in bowel habits without an obvious cause. See a doctor.",ibs know
How do I know if I have an ulcer?,"Burning stomach pain, nausea, and feeling full quickly. See a doctor — you may need a test for H. pylori.",ulcer know
How do I know if I have gallstones?,"Sudden pain in the upper right abdomen, nausea, and jaundice. See a doctor.",gallstones know
How do I know if I have kidney stones?,"Severe pain in the back or side, blood in urine, and painful urination. See a doctor.",kidney stones know
How do I know if I have appendicitis?,"Pain starting near the belly button and moving to the lower right, nausea, and fever. This is an emergency — go to hospital.",appendicitis know
How do I know if I have a hernia?,"A bulge or lump, pain, or discomfort. See a doctor.",hernia know
How do I know if I have a blood clot?,"Pain, swelling, warmth, and redness in a limb. Can also cause sudden shortness of breath. Seek emergency help.",blood clot know
How do I know if I have high cholesterol?,"You usually can't feel it. Get a blood test at a clinic.",cholesterol know
How do I know if I have a thyroid problem?,"Fatigue, weight changes, and mood changes. A blood test confirms it.",thyroid know
How do I know if I have anaemia?,"Fatigue, pale skin, and shortness of breath. A blood test confirms it.",anaemia know
How do I know if I have low blood sugar?,"Shaking, sweating, confusion, and hunger. Eat or drink something sweet immediately.",low blood sugar know
How do I know if I have high blood sugar?,"Increased thirst, frequent urination, and blurred vision. Get tested.",high blood sugar know
How do I know if I have diabetes?,"Increased thirst, frequent urination, fatigue, and blurred vision. Get tested.",diabetes know
How do I know if I have high blood pressure?,"You usually can't feel it. Get checked at a clinic.",blood pressure know
How do I know if I have asthma?,"Wheezing, coughing, chest tightness. See a doctor.",asthma know
How do I know if I have a fever?,"A thermometer reading above 38°C. Symptoms include feeling hot, shivering, and sweating.",fever know
How do I know if I have a cold?,"Runny nose, sneezing, sore throat, and mild cough.",cold know
How do I know if I have the flu?,"Sudden fever, body aches, fatigue, and cough.",flu know
How do I know if I have COVID-19?,"Fever, cough, loss of taste or smell. Get tested.",covid know
What should I do if I think I have HIV?,"Get tested at a clinic. If positive, start treatment right away. HIV is manageable with medication.",hiv think
What should I do if I think I have TB?,"See a doctor. Get tested. TB is curable with 6-9 months of treatment.",tb think
What should I do if I think I have malaria?,"See a doctor immediately. Do not wait — malaria can be fatal.",malaria think
What should I do if I think I have diabetes?,"See a doctor for a blood test. Early treatment prevents complications.",diabetes think
What should I do if I think I have high blood pressure?,"Get your BP checked at a clinic or pharmacy. If high, see a doctor.",blood pressure think
What should I do if I think I have an STI?,"See a doctor or clinic. Most STIs are easily treated. Do not have sex until cleared.",sti think
What should I do if I think I have depression?,"Talk to a doctor or counsellor. Depression is treatable.",depression think
What should I do if I think I have anxiety?,"Talk to a doctor or therapist. Anxiety is very treatable.",anxiety think
What should I do if I think I have a heart problem?,"See a doctor. Chest pain or shortness of breath should be checked urgently.",heart think
What should I do if I think I have asthma?,"See a doctor. They can diagnose and prescribe an inhaler.",asthma think
What should I do if I think I have cancer?,"See a doctor. Early detection gives the best outcome.",cancer think
What should I do if I think I have a fracture?,"Do not move the limb. Apply a cold pack. Go to hospital.",fracture think
What should I do if I think I have a concussion?,"Rest and avoid screens. See a doctor if symptoms are severe or worsen.",concussion think
What should I do if I think I have food poisoning?,"Drink fluids. Rest. See a doctor if symptoms are severe or last more than 3 days.",food poisoning think
What should I do if I think I have a UTI?,"Drink water and see a doctor for antibiotics.",uti think
What should I do if I think I have a yeast infection?,"Try an over-the-counter antifungal cream. See a doctor if it's your first, or symptoms don't improve.",yeast think
What should I do if I think I have a cold?,"Rest, fluids, and paracetamol. See a doctor if it lasts more than 10 days.",cold think
What should I do if I think I have the flu?,"Rest, fluids, and paracetamol. Stay home. See a doctor if symptoms are severe.",flu think
What should I do if I think I have COVID-19?,"Isolate and get tested. Rest, fluids. Seek help if breathing is difficult.",covid think
What should I do if I think I have pneumonia?,"See a doctor. You may need antibiotics.",pneumonia think
What should I do if I think I have bronchitis?,"Rest, fluids, honey. See a doctor if it lasts more than 3 weeks.",bronchitis think
What should I do if I think I have a sinus infection?,"Warm compresses, saline rinse, decongestants. See a doctor if it lasts more than 10 days.",sinus think
What should I do if I think I have an ear infection?,"See a doctor. You may need antibiotics.",ear infection think
What should I do if I think I have a tooth infection?,"See a dentist immediately. You may need antibiotics.",tooth infection think
What should I do if I think I have anaemia?,"See a doctor for a blood test. Eat iron-rich foods.",anaemia think
What should I do if I think I have arthritis?,"See a doctor. Exercise gently, maintain healthy weight.",arthritis think
What should I do if I think I have gout?,"See a doctor. Reduce red meat and alcohol.",gout think
What should I do if I think I have a broken bone?,"Immobilise the area. Go to hospital.",fracture think
What should I do if I think I have a burn?,"Cool under running water for 10-20 minutes. See a doctor for deep or large burns.",burn think
What should I do if I think I have a sprain?,"RICE — Rest, Ice, Compression, Elevation. See a doctor if you can't bear weight.",sprain think
What should I do if I think I have a nosebleed?,"Sit upright, lean forward, pinch the nose for 10-15 minutes.",nosebleed think
What should I do if I think I have an insect bite?,"Wash the area. Apply a cold pack. See a doctor if there's severe swelling or difficulty breathing.",insect bite think
What should I do if I think I have an allergic reaction?,"Take an antihistamine for mild reactions. For severe reactions (swelling, breathing problems), use an EpiPen and call emergency services.",allergy reaction think
What should I do if I think I have a snake bite?,"Keep the person still. Do not cut or suck the wound. Do not use a tourniquet. Get to hospital immediately.",snake bite think
What should I do if I think I have a dog bite?,"Wash the wound with soap and water. See a doctor — you may need a tetanus shot or rabies vaccine.",dog bite think
What should I do if I think I have a tick bite?,"Remove the tick with tweezers. Watch for a rash or fever. See a doctor if symptoms appear.",tick think
What should I do if I think I have a head injury?,"See a doctor if you have confusion, vomiting, or severe headache after a head injury.",head injury think
What should I do if I think I have a spinal injury?,"Do NOT move the person. Call emergency services.",spinal injury think
What should I do if I think I have a panic attack?,"Breathe slowly and deeply. Remind yourself you are safe. Symptoms pass in 10-20 minutes. See a doctor if frequent.",panic think
What should I do if I think I have heat stroke?,"This is an emergency. Call emergency services. Cool the person down with water and fanning.",heat stroke think
What should I do if I think I have hypothermia?,"Move to a warm place. Remove wet clothing. Wrap in blankets. Seek help if confused.",hypothermia think
What should I do if I think I have food poisoning?,"Drink fluids. Rest. See a doctor if symptoms are severe or last more than 3 days.",food poisoning think
Can I get pregnant from unprotected sex once?,"Yes. Pregnancy can happen from a single act of unprotected sex, especially around ovulation. Use emergency contraception if needed within 72 hours.",pregnancy unprotected
Can I get an STI from oral sex?,"Yes. Many STIs, including herpes, gonorrhoea, and syphilis, can be transmitted through oral sex. Use protection.",sti oral
Can I get HIV from kissing?,"No. HIV is not spread through saliva, hugging, or sharing food. It requires blood, semen, vaginal fluids, or breast milk.",hiv kissing
Can I get pregnant while on my period?,"Yes, though less likely. Sperm can live up to 5 days, so pregnancy is possible if you ovulate soon after your period.",pregnancy period
Can I get pregnant during breastfeeding?,"Yes. Breastfeeding is not a reliable contraceptive. Use another method if you don't want to get pregnant.",pregnancy breastfeeding
Can I get pregnant after menopause?,"It's very unlikely but not impossible until you've had 12 months without a period. Use contraception during the transition.",pregnancy menopause
Can I get an STI from a toilet seat?,"No. STIs don't survive on toilet seats. They require direct sexual contact.",sti toilet
Can I get HIV from a mosquito bite?,"No. HIV is not spread by mosquitoes or other insects.",hiv mosquito
Can I get HIV from sharing food?,"No. HIV is not spread by sharing food, utensils, or drinks.",hiv food
Can I get HIV from a needle stick?,"Yes, but the risk is low (about 0.3%). Seek medical help immediately — post-exposure prophylaxis (PEP) can prevent infection if started within 72 hours.",hiv needle
Can I get pregnant from precum?,"Yes. Pre-ejaculate fluid can contain sperm. Use protection every time.",pregnancy precum
Can I get pregnant from anal sex?,"Not directly, but sperm can leak into the vagina. Use condoms.",pregnancy anal
Can I get pregnant from dry humping?,"Pregnancy is very unlikely unless sperm reaches the vagina. Still, use protection to be safe.",pregnancy dry humping
Can I get an STI from dry humping?,"Some STIs (like herpes and HPV) can spread through skin-to-skin contact. Use protection.",sti dry humping
Can I get pregnant if he pulls out?,"Yes. Withdrawal is not reliable. Use condoms or another method.",pregnancy withdrawal
Can I get pregnant from a public toilet?,"No. Pregnancy requires sperm to enter the vagina. Toilet seats cannot transmit sperm.",pregnancy toilet
Can I get pregnant from swimming?,"No. Sperm cannot survive in pool water and cannot swim into the vagina.",pregnancy swimming
Can I get pregnant from oral sex?,"No, unless sperm enters the vagina afterward. Oral sex itself does not cause pregnancy.",pregnancy oral
Can I get an STI from kissing?,"Yes. Herpes and syphilis can be spread through kissing. HIV is not.",sti kissing
Can I get HIV from oral sex?,"Yes, though the risk is lower than vaginal or anal sex. Use a condom or dental dam.",hiv oral
Can I get HIV from anal sex?,"Yes. Anal sex has the highest risk of HIV transmission. Always use condoms.",hiv anal
Can I get HIV from vaginal sex?,"Yes. Vaginal sex is a common route of HIV transmission. Use condoms.",hiv vaginal
Can I get HIV from a blood transfusion?,"In countries with screened blood supplies, this is extremely rare. In unscreened areas, it is a risk.",hiv transfusion
Can I get HIV from a tattoo?,"If the equipment is not sterile, yes. Choose a reputable studio and ask about sterilisation.",hiv tattoo
Can I get HIV from a piercing?,"Same as tattoos — if the equipment is not sterile, yes.",hiv piercing
Can I get HIV from sharing razors?,"Razors could theoretically carry infected blood. Don't share personal items that may draw blood.",hiv razor
Can I get HIV from a fight?,"If infected blood enters your bloodstream through an open wound, yes, but this is rare.",hiv fight
